"","vectordist","iso","vectorlang"
"127",0.61089234031961,"NGA",0
"128",0.754198915333148,"NIC",0.722219078888145
"129",0.987498455503045,"NIU",0.00368900779062953
"130",0.567380684238833,"NLD",0.890302031205402
"131",0.576777987148752,"NOR",0.907790521787267
"132",0.683346863111204,"NPL",0.683119750280212
"133",0.928577796685521,"NRU",0.00368900779062948
"134",1,"NZL",0.584589417015058
"135",0.621950261703753,"OMN",0
"136",0.641022348405286,"PAK",0.76497026397128
"137",0.74295976742102,"PAN",0.722219078888144
"138",0.97210380617628,"PCN",0.584589417015058
"139",0.801035134358313,"PER",0.722219078888144
"140",0.810371229496292,"PHL",0.00190226398243309
"141",0.858021972408971,"PLW",0.00368900779062953
"142",0.920194712219503,"PNG",0
"143",0.563607974805789,"POL",0.724616814769335
"144",0.57908566611602,"PRT",0.983039772763298
